office,district,city_town,Ward,Pct,name_dem,name_gop,name_third_party,name_write_in,party_third_party,party_write_in,election_id,votes_dem,votes_gop,votes_third_party,votes_write_in,all_others,blanks,total_votes_cast
Governor,NA,Amherst,-,1A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,651,51,NA,NA,2,7,721
Governor,NA,Amherst,-,1B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,365,33,NA,NA,0,1,404
Governor,NA,Amherst,-,2A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,428,44,NA,NA,0,3,481
Governor,NA,Amherst,-,2B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1201,121,NA,NA,2,15,1357
Governor,NA,Amherst,-,3A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,389,49,NA,NA,2,9,454
Governor,NA,Amherst,-,3B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1100,101,NA,NA,3,11,1229
Governor,NA,Amherst,-,4A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,585,42,NA,NA,0,1,638
Governor,NA,Amherst,-,4B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,369,15,NA,NA,0,3,388
Governor,NA,Amherst,-,5A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,431,27,NA,NA,0,9,473
Governor,NA,Amherst,-,5B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1847,137,NA,NA,2,10,2015
Governor,NA,Andover,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,772,301,NA,NA,3,9,1103
Governor,NA,Andover,-,10,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1079,593,NA,NA,4,15,1712
Governor,NA,Andover,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1015,536,NA,NA,3,16,1583
Governor,NA,Andover,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1197,546,NA,NA,3,19,1803
Governor,NA,Andover,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,600,380,NA,NA,0,7,995
Governor,NA,Andover,-,4A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,283,156,NA,NA,3,5,456
Governor,NA,Andover,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,986,608,NA,NA,2,10,1626
Governor,NA,Andover,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,898,583,NA,NA,2,14,1523
Governor,NA,Andover,-,7,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1051,628,NA,NA,1,23,1735
Governor,NA,Andover,-,8,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1140,539,NA,NA,5,13,1733
Governor,NA,Andover,-,9,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,936,557,NA,NA,4,9,1527
Governor,NA,Aquinnah,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,221,37,NA,NA,0,1,263
Governor,NA,Arlington,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,625,114,NA,NA,2,5,759
Governor,NA,Arlington,-,10,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1046,126,NA,NA,5,8,1201
Governor,NA,Arlington,-,11,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,934,279,NA,NA,2,4,1231
Governor,NA,Arlington,-,12,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1044,195,NA,NA,5,13,1270
Governor,NA,Arlington,-,13,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,851,274,NA,NA,1,8,1148
Governor,NA,Arlington,-,14,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,830,147,NA,NA,0,13,1009
Governor,NA,Arlington,-,15,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,825,162,NA,NA,0,9,1010
Governor,NA,Arlington,-,16,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,941,168,NA,NA,0,7,1131
Governor,NA,Arlington,-,17,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,715,131,NA,NA,0,8,860
Governor,NA,Arlington,-,18,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,826,261,NA,NA,1,17,1119
Governor,NA,Arlington,-,19,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,924,186,NA,NA,3,9,1131
Governor,NA,Arlington,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,940,157,NA,NA,1,7,1117
Governor,NA,Arlington,-,20,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,822,164,NA,NA,0,8,1007
Governor,NA,Arlington,-,21,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,951,134,NA,NA,1,7,1111
Governor,NA,Arlington,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,920,108,NA,NA,0,8,1050
Governor,NA,Arlington,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,823,124,NA,NA,2,13,976
Governor,NA,Arlington,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,945,154,NA,NA,1,10,1126
Governor,NA,Arlington,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,865,116,NA,NA,0,9,1005
Governor,NA,Arlington,-,7,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,838,148,NA,NA,0,6,1004
Governor,NA,Arlington,-,8,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,996,171,NA,NA,0,10,1193
Governor,NA,Arlington,-,9,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,731,141,NA,NA,1,7,893
Governor,NA,Ashburnham,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,721,710,NA,NA,0,12,1466
Governor,NA,Ashburnham,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,732,610,NA,NA,4,3,1381
Governor,NA,Ashby,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,686,743,NA,NA,0,18,1466
Governor,NA,Ashfield,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,772,174,NA,NA,0,11,976
Governor,NA,Ashland,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,745,348,NA,NA,0,14,1114
Governor,NA,Ashland,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1073,439,NA,NA,0,13,1550
Governor,NA,Ashland,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,723,295,NA,NA,0,12,1051
Governor,NA,Ashland,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,753,343,NA,NA,0,19,1134
Governor,NA,Ashland,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,893,345,NA,NA,0,9,1263
Governor,NA,Ashland,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,916,385,NA,NA,0,12,1335
Governor,NA,Athol,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,655,671,NA,NA,2,17,1371
Governor,NA,Athol,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,544,605,NA,NA,0,13,1189
Governor,NA,Athol,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,597,502,NA,NA,1,5,1128
Governor,NA,Attleboro,1,A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,643,541,NA,NA,0,14,1232
Governor,NA,Attleboro,1,B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,690,548,NA,NA,0,10,1272
Governor,NA,Attleboro,2,A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,831,604,NA,NA,2,12,1468
Governor,NA,Attleboro,2,B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,701,554,NA,NA,0,15,1291
Governor,NA,Attleboro,3,A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,802,477,NA,NA,1,11,1311
Governor,NA,Attleboro,3,B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,863,554,NA,NA,2,0,1458
Governor,NA,Attleboro,4,A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,710,413,NA,NA,0,16,1158
Governor,NA,Attleboro,4,B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,942,819,NA,NA,3,15,1802
Governor,NA,Attleboro,5,A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,519,241,NA,NA,1,6,779
Governor,NA,Attleboro,5,B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,777,509,NA,NA,3,18,1326
Governor,NA,Attleboro,6,A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,671,571,NA,NA,1,5,1271
Governor,NA,Attleboro,6,B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,796,603,NA,NA,2,9,1445
Governor,NA,Auburn,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,825,622,NA,NA,2,11,1493
Governor,NA,Auburn,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,746,658,NA,NA,2,7,1437
Governor,NA,Auburn,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,869,686,NA,NA,0,10,1591
Governor,NA,Auburn,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,776,526,NA,NA,3,13,1348
Governor,NA,Auburn,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,709,587,NA,NA,2,10,1332
Governor,NA,Avon,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,895,733,NA,NA,0,14,1665
Governor,NA,Ayer,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,658,366,NA,NA,0,8,1058
Governor,NA,Ayer,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,764,470,NA,NA,0,13,1281
Governor,NA,Ayer,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,572,310,NA,NA,2,6,918
Governor,NA,Barnstable,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1281,811,NA,NA,2,14,2138
Governor,NA,Barnstable,-,10,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,824,783,NA,NA,1,11,1647
Governor,NA,Barnstable,-,11,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1042,943,NA,NA,0,18,2028
Governor,NA,Barnstable,-,12,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1029,894,NA,NA,3,16,1968
Governor,NA,Barnstable,-,13,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,642,441,NA,NA,3,8,1114
Governor,NA,Barnstable,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1062,851,NA,NA,3,14,1960
Governor,NA,Barnstable,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,777,510,NA,NA,4,11,1314
Governor,NA,Barnstable,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1059,733,NA,NA,0,11,1819
Governor,NA,Barnstable,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1082,1058,NA,NA,1,18,2184
Governor,NA,Barnstable,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,987,879,NA,NA,0,10,1907
Governor,NA,Barnstable,-,7,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1277,904,NA,NA,3,22,2235
Governor,NA,Barnstable,-,8,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,596,419,NA,NA,1,3,1041
Governor,NA,Barnstable,-,9,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,331,225,NA,NA,0,3,571
Governor,NA,Barre,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,565,557,NA,NA,0,12,1158
Governor,NA,Barre,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,444,581,NA,NA,2,4,1051
Governor,NA,Becket,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,503,288,NA,NA,1,10,815
Governor,NA,Bedford,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1294,459,NA,NA,6,10,1800
Governor,NA,Bedford,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,699,353,NA,NA,1,6,1070
Governor,NA,Bedford,-,2A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,224,109,NA,NA,0,2,340
Governor,NA,Bedford,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1270,489,NA,NA,1,12,1797
Governor,NA,Bedford,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1174,430,NA,NA,3,7,1639
Governor,NA,Belchertown,-,A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1074,620,NA,NA,2,14,1746
Governor,NA,Belchertown,-,B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,900,776,NA,NA,0,13,1720
Governor,NA,Belchertown,-,C,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,980,796,NA,NA,0,18,1820
Governor,NA,Belchertown,-,D,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1152,502,NA,NA,1,8,1692
Governor,NA,Bellingham,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,643,547,NA,NA,1,12,1222
Governor,NA,Bellingham,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,796,673,NA,NA,0,6,1505
Governor,NA,Bellingham,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,813,671,NA,NA,2,9,1518
Governor,NA,Bellingham,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,642,629,NA,NA,1,11,1310
Governor,NA,Bellingham,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,553,594,NA,NA,4,9,1181
Governor,NA,Belmont,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1165,310,NA,NA,7,29,1535
Governor,NA,Belmont,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1216,487,NA,NA,2,32,1778
Governor,NA,Belmont,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1109,292,NA,NA,1,28,1457
Governor,NA,Belmont,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,920,285,NA,NA,0,13,1252
Governor,NA,Belmont,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1103,290,NA,NA,0,18,1437
Governor,NA,Belmont,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1438,315,NA,NA,5,23,1805
Governor,NA,Belmont,-,7,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1115,303,NA,NA,2,22,1466
Governor,NA,Belmont,-,8,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,977,387,NA,NA,1,39,1433
Governor,NA,Berkley,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,641,870,NA,NA,3,4,1556
Governor,NA,Berkley,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,490,741,NA,NA,3,12,1263
Governor,NA,Berlin,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1057,739,NA,NA,0,22,1860
Governor,NA,Bernardston,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,640,320,NA,NA,0,6,985
Governor,NA,Beverly,1,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,833,454,NA,NA,7,4,1318
Governor,NA,Beverly,1,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1158,562,NA,NA,2,10,1763
Governor,NA,Beverly,2,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1015,333,NA,NA,0,8,1378
Governor,NA,Beverly,2,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1130,344,NA,NA,0,12,1520
Governor,NA,Beverly,3,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,651,216,NA,NA,0,11,904
Governor,NA,Beverly,3,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,879,459,NA,NA,1,9,1370
Governor,NA,Beverly,4,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,612,237,NA,NA,0,8,865
Governor,NA,Beverly,4,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1497,458,NA,NA,1,11,1995
Governor,NA,Beverly,5,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1023,545,NA,NA,2,11,1603
Governor,NA,Beverly,5,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,901,496,NA,NA,1,10,1424
Governor,NA,Beverly,6,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1250,524,NA,NA,4,15,1816
Governor,NA,Beverly,6,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1161,709,NA,NA,2,15,1917
Governor,NA,Billerica,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,676,443,NA,NA,3,5,1141
Governor,NA,Billerica,-,10,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,837,822,NA,NA,0,9,1691
Governor,NA,Billerica,-,11,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,616,592,NA,NA,2,11,1254
Governor,NA,Billerica,-,12,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,755,617,NA,NA,1,13,1415
